customer_id,disb_date,tenure,account_num,loan_amount,loan_fee
06cbb845f5f375aa8c8e92b5c519a93c32941d773a52858f4ce959e24cca6af4,31-May-24,30 days,SKB44K5XD6GWHDL3TWIUFR6KLJ0Z31FE,670,100.5
2263b6468a72ac87e422b8afe9acee1b379a708988ca8e4df643808ebd71e5f4,31-May-24,7 days,HC44BI8MJSWD5DWLNBVJZE6U26JIS447,110,11
b50b1c11f57f42f7b645a35ab796c5e06872a473b9f0fc806f89668798987701,31-May-24,7 days,2G5385VMU7V048ADIZRPNVYFKBRA7NAY,90,9
772eb5724053c529ae314e7339915f3eda6bb0972a7d96a09dd4f8f687649f2a,31-May-24,14 days,7RHF80X50SECPF1O4EKUVGHPU1XYTCJF,150,18
98f3c3330178c37ba8d5f7abd13e046f216f951a8638fc188d1e0c75b0e99edf,31-May-24,14 days,D6CKEGMXE1YPOAUCGQ01NBLFUKREQN5S,300,36
e137eb18b9ff5b1b9f4df5f9206d283a33db24aa6ecf51a89994ad23ca0fcdb7,31-May-24,7 days,CS5373OU86ARXHF6Y3K3TEZCDAWSUEBX,900,90
2dd7dd1d050c5a9d9e18223e62f3c2a70a05c54f1d4746410ca5fb74cb38c838,7-May-24,14 days,XV71OVWEH5GN9MNRFNA8B4Y8HJ3XJX94,3500,420
dcc748a7468c9038a1ff40e2b7dc2e296bb22594e0550c19757217be27f57d24,7-May-24,30 days,52JD0V4W3VKLYPG1ISDEV70QVJMDUELG,450,67.5
0c3787ef3c91b3c42b5d80cd36d36782ca6e4a7e6d146a9df533b8354df88af3,7-May-24,7 days,B6CPXO7HGNKDQY53TYORBE6EMMP8LPK1,150,15
a8de7aea5bc9ad59ce83e55cae10964da3b11e93482292e56a7b28d9c0468ed2,7-May-24,14 days,NAYCA86DQ2MG627VFBYBNDVN1LCL7FCS,640,76.8
00595dbcfe9c976a5cc88e549dc41e599f5287b3df231463fc1f6f0f1296cfe4,7-May-24,14 days,30VZ6S0RJRL1FQM5801KTR439ZNZ7TLF,880,105.6
3345ec73bb7d7b7f3c727675a2309ee17a2a78888fa5cd29286cf5abcedc557d,7-May-24,14 days,EB3VKE0UGM0BEGUUXXIPS3G0B85WKB7U,250,30
fabb484209d03cef3b75604af0a4c39b6c0abc4f21a117ebe897856efc6af31f,7-May-24,7 days,QYSC833PGYN6D1HE21HG8O2FEL6V519E,170,17
35e29187f529ee21795c3ec04707ff4c69416ab22c9b4a09a0b70c502dadca1e,7-May-24,14 days,2J467P6X9PRKTKSPAA8QQ7FU7V0PTG4S,460,55.2
86f2652a489c211109dffe840ea2120545b01bfe8ae556aaffc437ae3a2ed651,11-May-24,7 days,Q8HZ5M4VW4EN04ZW0M4HMLDT3X9S1VPU,3500,350
af3a742cb2f3c888a51d9e380f01a28c8404ba43b7f6bfe2f2b881c67263c076,11-May-24,7 days,XSPDMYEPUFBZH8CUNE1C5ZBUP71E4BLK,1000,100
a1e09625c2718c93e3cc7de041bcbad42e9fa3930f4e30044efc13178882caa9,11-May-24,14 days,PN59CZCO749OICPVRLRZJ6EVGIAYEF6R,380,45.6
59b121e3e01950600b6586a55cfa6e1f113a4705ce23dcde524d4be34579f077,11-May-24,14 days,XCE5PWHUPBKAHWDWLHJOVVRELU22QN4Z,800,96
4f5fe7860638cf3cf6abfe08d66677edd3e9b5aae07929ab7ac35021f6b5de7e,11-May-24,7 days,57MLD9D37S0PEXTO8CSGNL5FNBGP3BNI,70,7
b3f44b7642a0eb9532039ba3fd34e0f9ca8885a7b5156d14f61a2706ff55f6f7,11-May-24,7 days,JJA7J07ORWNJS9CSR8NJTE714PX1TB49,180,18
933ca784e8f1c395e8f61b91a9a266faadc088575e91895f605984ace92d3457,11-May-24,7 days,W0ZB52Q0ZCEHQILVR89D71VF9CR1NACB,1170,117
dbdc9f1d726e88f7e445e293c4d025fdd6a8f48091d2f48b8e8a09e65f2bc715,11-May-24,7 days,8Y80H7ZW4WX7ZW0123MUEKCSJBEKEX5N,640,64
b68e0712dad314ff8b83ea3502eee900013252a46f40192cceee0ccec555cc02,11-May-24,30 days,BZQCCPUXJDNKDGLWVDGYGOPARGKUAVP1,900,135
46f3cf544bab7704462cd3e922faa4723bd1344ae4df828e24d282b9d9161109,11-May-24,14 days,GH7BOBJE91924GCWI6CHGD9K0YMKWD7L,100,12
552d46f287a8c4930666f3a44c412bcebc99050306e2080bac0bc22eea793228,11-May-24,14 days,Y72OPEZHKO6B4838S8SBMCD8YRXL7P5G,150,18
5992ef5281fdd165e5aca86de7f42033e44fa8e93fa51082171fc5c7fc5b0c8f,11-May-24,14 days,R6351OF8L755QLKTRXAEWWF0AQFB5Y2M,350,42
908625dafd28d45084e684bf226411584321d990290c01a33ff3a780f3211a3d,11-May-24,30 days,LM57Y4N2H01WBLEYBR8QX2J4L99D6Y12,3110,466.5
68a52e68665f909043db4e4e6196668f910054c845948577c32a8589e5410014,11-May-24,14 days,1IND4LQ331G6HWZGRL1LWVR8OS42PLKB,120,14.4
ec95453d3aa5345044503f5db87e73b3516f1f6390157ef19ee32a44f222b934,11-May-24,14 days,AZM70SBWZ3R8IINFLVA956599KBB61LD,70,8.4
d75700248ed9080a70da65c872fd59e2c488e78d853346bb49a6bc0802271115,11-May-24,14 days,P1SD4SYJFBNUPZQ0HTT2CG11WNUDOKFM,1610,193.2
3a117eadbd9af306cd53bb11e4fde6fe72cef4724bf12d77bed16bb2033f77c7,11-May-24,30 days,13U2FEMFGUIF7LETZOII2HOIAET1IPW4,1590,238.5
85775ce6858cbc7d1afef6f155e4bcf934d38e3b6000399ff39a4ea0b5167b47,11-May-24,30 days,KZEJVI4YDSUQU5T1H0GPR1TZ2ERBEBWS,1000,150
61f3ce098cd27c5cedae366a60f0ac2c4cc7e3729eaa00426221a999057fb04e,11-May-24,14 days,ZA7X4YFTJPEP3CUUBPAGA03ZON54NLQ9,400,48
091e06376691f685c99eacaee0373970dae7d90cc64d02fae312371a35cc1bfb,11-May-24,14 days,N4DRPEGNNW9MPDDXGYYV6F8IDIPGDHBJ,800,96
ea09f95c819dd6eeaaf5a74435cf59c82693a7d316abc04ff1d1462aa11ebc3d,11-May-24,14 days,3MM7E99HAAD6IKGAA9IDM474FPPF1UJ3,210,25.2
61a76e792c10d2d071f52da416307e1687f7f8f828c7a524f4606cb1ac97a11e,11-May-24,14 days,3GSD83TN0BKMGK4SL27LZA5J5PAUMKGR,100,12
21b218785c09213adcc5cdd53fb5f240e56a597ab92d1a0458ce7f4c73fdc41f,11-May-24,30 days,OS76O9UXR7XXAQN5PMWIXVVLKC6W7DYX,1720,258
26ef605c962e89999f977d04d6296d0708c8835db2dee33d783839edf96acf38,11-May-24,14 days,97RYOLWYH3VFGFZQMUWZMVORTSVH8VI1,470,56.4
fcd931b1b92bab29d736b8f2b668a005c9c8c794b8668388feabb41d8719ee6f,11-May-24,7 days,0FTVM0WLX0LVI2FJOW29QPE5RA55F8US,240,24
3e8b98218750c6b1c147722e40277438b4b9a5342c953c33fd6b6df7d4698472,11-May-24,30 days,ZBNAHE08WEND245MMV9KQXSO9VO8MS85,3500,525
229e941d6ff3add2c658ce75d224e4604c02f9cbe17f0de81b02e98ddbdaabf4,11-May-24,14 days,ETAYXALX4CY6FRV305MFS4ELU051TOPE,280,33.6
90b4a2a10b7314b27027342cc524acb846a005898542d46ba9f56ee3451881af,11-May-24,30 days,T11NAFV4OL88NTAGG925VOCLUS8VVWJY,3000,450
3d927fd7b04c7b06fc4ed9e3e4dbf79872acf479c9ec631b165c3f1438bfa225,11-May-24,14 days,ZMZI0SDP5VRZL3A35TEQIDQPXAKQ6V2S,150,18
59b121e3e01950600b6586a55cfa6e1f113a4705ce23dcde524d4be34579f077,11-May-24,14 days,LGG5JZN3OXBEG7O4ZYC5GNBKJYSBDMKI,500,60
4f6fb0485ae6e214275cab2402818e49924ab0463756aacbb53c81b18940c559,11-May-24,14 days,IIIWI0WEUERHAKG5KSX03TO038AZ600L,120,14.4
ef97b77b9500a89f03505868c579a89128e752c05c3f1a3dce3db16dd3fa2d66,11-May-24,14 days,TTP9V07BTK9FK1KBBIS4EZDY6GUV6QHN,270,32.4
1121ae55a74fd0cd4e95018504fb2011fb9cd24b727c9e8249cc313f3acac35d,11-May-24,14 days,ESUQTFSL7L88NU7O6KJWW978D5QK83RP,240,28.8
342c8aa5abdd8ef02a3f13762c0077c94350e1f1ff0330978cad9c1f4a6a7efb,11-May-24,14 days,61MMWSVQMSAT7RVM3OSQK24N8VQ0EB9Y,190,22.8
241a7850bd91ca5dec51d0b6790e649563bc6be2b1697f2f61e559940fdfc278,11-May-24,30 days,7P1AGAMSIXPQAR7GAB4KZQJELF4TVZVN,1000,150
48c804d28259494937aa84e8e39b90c766ac867905d1b2672dab2956af462e24,11-May-24,7 days,1HZ81PTU49FTJ9IUHPUFFQYFYDL72N6G,3500,350
c4fee0d93bc97540341f12d14a3f9051a8afca1e3bd8208a955f59e1c7ade1c8,11-May-24,14 days,9LQRNID7N8GXF3A938QD580MNO0H8CYJ,160,19.2
931fb946c4460b7e9c8a20f374e3fab900caad6b9f4cb7c166f143e61fcb6f90,11-May-24,14 days,QOGRQB2EMRSKP5BJNSEO055G3GBFDKRR,510,61.2
36b08ab211f80d941e0b685a71d9e5da02f94b43393f4b35019e0f97a1345e49,11-May-24,14 days,OOD5H03T4C4GHQOS5IAXTJL8LJTUM0ZE,180,21.6
a0f56a165ed8c7aac5fd54ddbfc2c6ab45433cabb4d01a3736784539066307dd,11-May-24,7 days,XSF9S8TVDBQVX5LMISP08ZHXSMOSYTCE,680,68
be59a1237f24af5efb0b7b8dcb38752d1e7d9ce9f30e6bbe9cb1b08e95a38e51,11-May-24,14 days,74RUWSPSD0MTLG6J0Q90YAJ3QEYQSM6W,790,94.8
e7a272553888f813d503768fbb7177f260cd0b1433336cdfc325cc00689d4137,11-May-24,7 days,67E40JU8KUG61PAKDV2XMM45EXFV4LHH,90,9
be7c31619e3366a207b48457d006f24cb85aa33e4a968e9e8be584443a5e6342,11-May-24,30 days,WI9LAZEHHU8PYRJI460VOCCMJPJ2MK6O,1500,225
28f7abc8631e7443a800d233fc31b5d60c7653ac8b6d26ef8d9197efab58d952,11-May-24,14 days,RXKSFZ4TOMIN4FHUJC8VN9Y0WVZZWLWE,1850,222
514dc8e2f55eabe81f1bf53b39d5578c6b3eeb760956674427093131bbf1f8ff,11-May-24,7 days,PZ1Q11WGQ8I7GE9SNGYOOXKEQ0KB5DQW,220,22
